procedure_name,status,scripted_file,reference_count,live_reference_count,first_reference,notes
Sp_AttendanceReport,missing,,1,1,V.SMART/V.SMART.Shared/Pages/HumanResource_Pages/Attendance_Pages/AttendanceDetails.razor:282,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_BomAnalysis,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/TrackReportService/JobOrderAnalysisService.cs:48,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_CreditDebitNoteSummaryReport,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/AccountsService/CreditDebitSummaryService.cs:77,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetCreditNoteList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/SalesService/CreditNoteService.cs:1409,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetDebitNoteList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/DebitNote_Service/DebitNoteService.cs:1248,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetExportInvoiceStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/SalesService/ExpInvService.cs:1662,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetHSNSummaryReport,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/AccountsService/HSNSummaryService.cs:77,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetItemModificationReport,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/AnalysisReportService/ItemModificationReportServices.cs:20,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetJobOrderAssemblySubAssemblyList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/PlanningService/JobOrderService.cs:1337,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetLabourDcInOutTrack,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/TrackReportService/ViewTallyDCInOutTrackService.cs:184,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetLabourDcOutgoingStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/LabourServices/LabourDcOutgoingService.cs:5929,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetLabourGRNStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/LabourServices/LabourGRNService.cs:1879,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetLabourInvStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/LabourServices/LabourInvoiceService.cs:1541,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetLabourSCNStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/LabourServices/LabourSCNService.cs:1737,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetManufacturingInvoiceStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/SalesService/MfgInvService.cs:2029,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetMaterialReq,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/MaterialRequisitionService/MaterialReqService.cs:1731,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetMfgPOPendingList,missing,,3,3,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/TrackReportService/PoPendingServices.cs:117,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetMfgPosPendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/SalesService/MfgPoService.cs:1830,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetProductionIssueAssyStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ProductionService/ProductionIssueAssyService.cs:1675,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetProductionIssueCompStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ProductionService/ProductionIssueCompService.cs:1991,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetProductionReturnAssyStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ProductionService/ProductionReturnAssyService.cs:2287,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetProductionReturnCompStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ProductionService/ProductionReturnCompService.cs:3599,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetProductionSCNAssyStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ProductionService/ProductionSCNAssyService.cs:966,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetProductionSCNCompStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ProductionService/ProductionSCNCompService.cs:1378,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetPurchandSubQuotePendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/PurchOrSubConQuoteService/PurchaseQuoteService.cs:1321,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetPurchaseGRNsPendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/PurchaseGRN_Service/PurchaseGRNService.cs:1688,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetPurchaseInvoiceStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/Purchase_Invoice_Service/PurchaseInvoiceService.cs:1596,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetPurchasePosPendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/PurchOrSubConPoService/PuchPoService.cs:2520,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetPurchaseSCNsPendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/PurchaseSCN_Service/PurchaseSCNService.cs:1808,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetPurchasesandSubcontractEnquiryPendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/PurchOrSubConEnquiryService/EnquiryPurchaseService.cs:1412,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetSalesandLabQuotePendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/SalesService/MfgQuotationService.cs:1542,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetSalesandlabourPendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/SalesService/EnquirySalesService.cs:985,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetSubContractDcGRNPendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/SubContractGRNService/SubConGRNService.cs:5603,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetSubContractDcInOutTrack,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/TrackReportService/ViewTallyDCInOutTrackService.cs:213,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetSubContractDcoutPendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/SubContractDcOutService/SubConDcOutService.cs:2931,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetSubContractInvoicePendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/SubContractInvoiceService/SubConInvService.cs:1276,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetSubContractScnPendingList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/OutSourcingService/SubContractSCNService/SubConSCNService.cs:1786,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetTaxDetailsReport,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/TaxDetailsService/TaxDetailsService.cs:79,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetToolCribIssueNoteStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/InventoryService/ToolCribIssueService.cs:765,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_GetToolCribReturnNoteStatusList,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/InventoryService/ToolCribReturnService.cs:834,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_InvDetailsLabelPrint,scripted,Existing Store Procedures/StoredProcedures/Sp_InvDetailsLabelPrint.sql,1,1,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/LabourInvoice_Pages/LabourInvoiceDetails.razor:570,
Sp_ItemWiseHistoryReport,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/History_Service/ItemWiseReportService.cs:34,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_JobOrderTrack,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/TrackReportService/JobOrderAnalysisService.cs:77,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_LabourPendingReport,missing,,2,2,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/TrackReportService/LabourPendingService.cs:58,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Labour_Track,missing,,2,2,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/TrackReportService/LabourTrackReportService.cs:257,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_AppointmentLetter,missing,,1,1,V.SMART/V.SMART.Shared/Pages/HumanResource_Pages/AppointmentLetter_Pages/AppointmentLetterDetails.razor:214,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_CREDITNOTE,missing,,2,2,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/CreditNote_Pages/CreditNoteDetails.razor:387,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_CompanyDetails,scripted,Existing Store Procedures/StoredProcedures/Sp_Print_CompanyDetails.sql,6,6,V.SMART/V.SMART.Shared/Services/ReportViewer/ReportService.cs:200,
Sp_Print_DebitNote,missing,,2,2,V.SMART/V.SMART.Shared/Pages/OutSourcing_Module_pages/DebitNote_pages/DebitNoteDetails.razor:388,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_EnquiryFeasibility,missing,,1,1,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/Fesibility_Pages/EnquiryFeasibilityListDetails.razor:247,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_EnquirySales,missing,,2,2,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/SalesEnquiry_Pages/EnquiryDetails.razor:227,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_Estimation,missing,,1,1,V.SMART/V.SMART.Shared/Pages/Planning_Module_Pages/Estimation_Pages/EstimationDetails.razor:436,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_GRNDetailsLabelPrint,scripted,Existing Store Procedures/StoredProcedures/Sp_Print_GRNDetailsLabelPrint.sql,1,1,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/LabourSCN_Pages/LabourSCNDetails.razor:345,
Sp_Print_InterStoreTransfer,missing,,2,2,V.SMART/V.SMART.Shared/Pages/Inventory(Stock)_Module_Pages/StoreInterTrans_Pages/StoreInterTransDetails.razor:203,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_JobOrder,missing,,2,2,V.SMART/V.SMART.Shared/Pages/Planning_Module_Pages/JobOrder_Pages/JobOrderDetails.razor:290,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_LabourDC,scripted,Existing Store Procedures/StoredProcedures/Sp_Print_LabourDC.sql,2,2,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/LabourDcOut_Pages/LabourDcOutgoingDetails.razor:431,
Sp_Print_LabourGRN,scripted,Existing Store Procedures/StoredProcedures/Sp_Print_LabourGRN.sql,2,2,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/LabourGRN_Pages/LabourGRNDetails.razor:291,
Sp_Print_LabourInv,scripted,Existing Store Procedures/StoredProcedures/Sp_Print_LabourInv.sql,2,2,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/LabourInvoice_Pages/LabourInvoiceDetails.razor:538,
Sp_Print_LabourSCN,scripted,Existing Store Procedures/StoredProcedures/Sp_Print_LabourSCN.sql,3,3,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/LabourSCN_Pages/LabourSCNDetails.razor:314,
Sp_Print_LeaveApplication,missing,,1,1,V.SMART/V.SMART.Shared/Pages/Master_Module_pages/LeaveApplication_Pages/LeaveDetails.razor:181,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_MaterialIssueNoteReduction,missing,,3,3,V.SMART/V.SMART.Shared/Pages/Inventory(Stock)_Module_Pages/MaterialIssueNote_pages/MaterialIssueDetails.razor:283,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_MaterialReq,missing,,2,2,V.SMART/V.SMART.Shared/Pages/OutSourcing_Module_pages/MaterialRequisition_pages/MaterialReqDetails.razor:314,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_MfgDC,case_mismatch,Existing Store Procedures/StoredProcedures/Sp_Print_MFGDC.sql,2,2,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/SalesDc_Pages/MfgDcDetails.razor:395,Declared as Sp_Print_MFGDC in Existing Store Procedures/StoredProcedures/Sp_Print_MFGDC.sql; referenced as Sp_Print_MfgDC. Case-only difference; SQL Server default collation is case-insensitive (Inferred -- live tenant collation not observed in this session).
Sp_Print_MfgInv,scripted,Existing Store Procedures/StoredProcedures/Sp_Print_MfgInv.sql,2,2,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/MfgInv_Pages/MfgInvDetails.razor:558,
Sp_Print_MfgQuote,scripted,Existing Store Procedures/StoredProcedures/Sp_Print_MfgQuote.sql,2,2,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/MfgQuote_Pages/MfgQuoteDetails.razor:493,
Sp_Print_OfferLetter,missing,,1,1,V.SMART/V.SMART.Shared/Pages/HumanResource_Pages/OfferLetter_Pages/OffferLetterDetails.razor:214,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_Payments,missing,,1,1,V.SMART/V.SMART.Shared/Pages/CashFlow_Pages/Payments_Pages/PaymentDetails.razor:189,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_PerformaInvoice,scripted,Existing Store Procedures/StoredProcedures/Sp_Print_PerformaInvoice.sql,1,1,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/PerformaInvoice_pages/PerformaDetails.razor:457,
Sp_Print_ProdAssyGRN,missing,,2,2,V.SMART/V.SMART.Shared/Pages/ProductionModule_pages/ProductionReturnAssy_Pages/ProductionReturnAssyUpsert.razor:1660,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_ProdAssySCN,missing,,2,2,V.SMART/V.SMART.Shared/Pages/ProductionModule_pages/ProductionAssySCN_Pages/ProductionAssySCNDetails.razor:290,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_ProdCompSCN,missing,,2,2,V.SMART/V.SMART.Shared/Pages/ProductionModule_pages/ProductionSCNComp_Pages/ProductionSCNCompDetails.razor:253,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_ProductionCompGRN,missing,,2,2,V.SMART/V.SMART.Shared/Pages/ProductionModule_pages/ProductionCompReturn_Pages/ProductionReturnCompDetails.razor:258,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_ProductionIssueAss,missing,,2,2,V.SMART/V.SMART.Shared/Pages/ProductionModule_pages/ProductionIssueAssy_Pages/ProductionIssueAssyDetails.razor:290,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_ProductionIssueComp,missing,,2,2,V.SMART/V.SMART.Shared/Pages/ProductionModule_pages/ProductionComp_Pages/ProductionIssueCompDetails.razor:276,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_PurchaseEnquiry,missing,,2,2,V.SMART/V.SMART.Shared/Pages/OutSourcing_Module_pages/PurchOrSubConEnquiry_Pages/EnquiryPurchaseUpsert.razor:2310,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_PurchaseGRN,missing,,4,4,V.SMART/V.SMART.Shared/Pages/OutSourcing_Module_pages/PurchaseGRN_Pages/PurchaseGRNDetails.razor:277,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_PurchaseInvoice,missing,,4,4,V.SMART/V.SMART.Shared/Pages/OutSourcing_Module_pages/PurchaseInvoice_Pages/PurchaseInvoiceDetails.razor:450,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_PurchaseOrder,unreferenced,Existing Store Procedures/StoredProcedures/Sp_Print_PurchaseOrder.sql,0,0,,"Declared in Sp_Print_PurchaseOrder.sql but not referenced anywhere in .cs/.razor under V.SMART/. The application calls Sp_Print_PurchasePo instead (status missing, see that row). Candidate for deletion as dead DDL, or may be called from a FastReport .frx data-source binding or another procedure -- neither is visible to this method. Decision for a human, not made here."
Sp_Print_PurchasePo,missing,,4,3,V.SMART/V.SMART.Shared/Pages/OutSourcing_Module_pages/PurchOrSubConPO_Pages/PurchPOUpsert.razor:4596,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_PurchaseSCN,missing,,3,3,V.SMART/V.SMART.Shared/Pages/OutSourcing_Module_pages/PurchaseSCN_Pages/PurchaseSCNDetails.razor:316,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_Receipts,missing,,1,1,V.SMART/V.SMART.Shared/Pages/CashFlow_Pages/Receipt_Pages/ReceiptDetails.razor:189,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
